Data Set 7:Time(s),Data Set 7:Force 1(N),Data Set 7:Force 2(N),,0,,
1.255,-0.251442,-0.1219635,0.3734055,0.4514954805,,
1.26,-0.2451553,-0.115654,0.3608093,0.453299527,,
1.265,-0.2451553,-0.1177597,0.362915,0.455114102,,
1.27,-0.25354,-0.1261673,0.3797073,0.4570126385,,
1.275,-0.2472534,-0.1219635,0.3692169,0.458858723,,
1.28,-0.25354,-0.115654,0.369194,0.460704693,,
1.285,-0.251442,-0.1219635,0.3734055,0.4625717205,,
1.29,-0.2472534,-0.1198578,0.3671112,0.4644072765,,
1.295,-0.2493515,-0.1219635,0.371315,0.4662638515,,
1.3,-0.2388687,-0.1177597,0.3566284,0.4680469935,,
1.305,-0.2451553,-0.1198578,0.3650131,0.469872059,,
1.31,-0.2472534,-0.1219635,0.3692169,0.4717181435,,
1.315,-0.2472534,-0.1240692,0.3713226,0.4735747565,,
1.32,-0.2346802,-0.0672913,0.3019715,0.475084614,,
1.325,-0.2472534,-0.0904236,0.337677,0.476772999,,
1.33,-0.2367783,-0.1093445,0.3461228,0.478503613,,
1.335,-0.2388687,-0.1072464,0.3461151,0.4802341885,,
1.34,-0.2451553,-0.1240692,0.3692245,0.482080311,,
1.345,-0.2451553,-0.1177597,0.362915,0.483894886,,
1.35,-0.2388687,-0.1219635,0.3608322,0.485699047,,
1.355,-0.2388687,-0.1198578,0.3587265,0.4874926795,,
1.36,-0.2367783,-0.1240692,0.3608475,0.489296917,,
1.365,-0.2430649,-0.128273,0.3713379,0.4911536065,,
1.37,-0.2472534,-0.1261673,0.3734207,0.49302071,,
1.375,-0.2493515,-0.1240692,0.3734207,0.4948878135,,
1.38,-0.2493515,-0.1219635,0.371315,0.4967443885,,
1.385,-0.251442,-0.1177597,0.3692017,0.498590397,,
1.39,-0.251442,-0.1198578,0.3712998,0.500446896,,
1.395,-0.25354,-0.1177597,0.3712997,0.5023033945,,
1.4,-0.251442,-0.1093445,0.3607865,0.504107327,,
1.405,-0.251442,-0.1177597,0.3692017,0.5059533355,,
1.41,-0.2430649,-0.0904236,0.3334885,0.507620778,,
1.415,-0.2451553,-0.1093445,0.3544998,0.509393277,,
1.42,-0.2451553,-0.1135559,0.3587112,0.511186833,,
1.425,-0.2472534,-0.0862198,0.3334732,0.512854199,,
1.43,-0.2493515,-0.0946274,0.3439789,0.5145740935,,
1.435,-0.251442,-0.1114502,0.3628922,0.5163885545,,
1.44,-0.2493515,-0.1135559,0.3629074,0.5182030915,,
1.445,-0.2388687,-0.1198578,0.3587265,0.519996724,,
1.45,-0.2388687,-0.1177597,0.3566284,0.521779866,,
1.455,-0.2493515,-0.1240692,0.3734207,0.5236469695,,
1.46,-0.2346802,-0.1261673,0.3608475,0.525451207,,
1.465,-0.2388687,-0.1198578,0.3587265,0.5272448395,,
1.47,-0.2451553,-0.115654,0.3608093,0.529048886,,
1.475,-0.2409668,-0.1135559,0.3545227,0.5308214995,,
1.48,-0.2430649,-0.1177597,0.3608246,0.5326256225,,
1.485,-0.2409668,-0.1198578,0.3608246,0.5344297455,,
1.49,-0.2451553,-0.1219635,0.3671188,0.5362653395,,
1.495,-0.2367783,-0.1240692,0.3608475,0.538069577,,
1.5,-0.2430649,-0.1114502,0.3545151,0.5398421525,,
1.505,-0.2451553,-0.1177597,0.362915,0.5416567275,,
1.51,-0.2451553,-0.115654,0.3608093,0.543460774,,
1.515,-0.2430649,-0.1198578,0.3629227,0.5452753875,,
1.52,-0.2430649,-0.1219635,0.3650284,0.5471005295,,
1.525,-0.2451553,-0.1219635,0.3671188,0.5489361235,,
1.53,-0.2346802,-0.0799103,0.3145905,0.550509076,,
1.535,-0.2451553,-0.0988312,0.3439865,0.5522290085,,
1.54,-0.251442,-0.1072464,0.3586884,0.5540224505,,
1.545,-0.25354,-0.115654,0.369194,0.5558684205,,
1.55,-0.2472534,-0.1177597,0.3650131,0.557693486,,
1.555,-0.251442,-0.1198578,0.3712998,0.559549985,,
1.56,-0.25354,-0.1177597,0.3712997,0.5614064835,,
1.565,-0.2598267,-0.1198578,0.3796845,0.563304906,,
1.57,-0.2451553,-0.115654,0.3608093,0.5651089525,,
1.575,-0.2409668,-0.1093445,0.3503113,0.566860509,,
1.58,-0.2472534,-0.1114502,0.3587036,0.568654027,,
1.585,-0.2451553,-0.1114502,0.3566055,0.5704370545,,
1.59,-0.251442,-0.1135559,0.3649979,0.572262044,,
1.595,-0.2493515,-0.1093445,0.358696,0.574055524,,
1.6,-0.2472534,-0.1240692,0.3713226,0.575912137,,
1.605,-0.2451553,-0.128273,0.3734283,0.5777792785,,
1.61,-0.2451553,-0.128273,0.3734283,0.57964642,,
1.615,-0.2430649,-0.1198578,0.3629227,0.5814610335,,
1.62,-0.2430649,-0.0904236,0.3334885,0.583128476,,
1.625,-0.2430649,-0.1072464,0.3503113,0.5848800325,,
1.63,-0.2430649,-0.1072464,0.3503113,0.586631589,,
1.635,-0.2409668,-0.0714951,0.3124619,0.5881938985,,
1.64,-0.2409668,-0.0904236,0.3313904,0.5898508505,,
1.645,-0.2388687,-0.0967331,0.3356018,0.5915288595,,
1.65,-0.2388687,-0.1093445,0.3482132,0.5932699255,,
1.655,-0.2430649,-0.1177597,0.3608246,0.5950740485,,
1.66,-0.2472534,-0.1114502,0.3587036,0.5968675665,,
1.665,-0.2472534,-0.115654,0.3629074,0.5986821035,,
1.67,-0.2472534,-0.1135559,0.3608093,0.60048615,,
1.675,-0.2472534,-0.1240692,0.3713226,0.602342763,,
1.68,-0.25354,-0.1240692,0.3776092,0.604230809,,
1.685,-0.2451553,-0.1219635,0.3671188,0.606066403,,
1.69,-0.2493515,-0.1240692,0.3734207,0.6079335065,,
1.695,-0.251442,-0.1240692,0.3755112,0.6098110625,,
1.7,-0.2493515,-0.1198578,0.3692093,0.611657109,,
1.705,-0.251442,-0.115654,0.367096,0.613492589,,
1.71,-0.2409668,-0.103035,0.3440018,0.615212598,,
1.715,-0.2472534,-0.1093445,0.3565979,0.6169955875,,
1.72,-0.2598267,-0.115654,0.3754807,0.618872991,,
1.725,-0.25354,-0.1135559,0.3670959,0.6207084705,,
1.73,-0.2451553,-0.115654,0.3608093,0.622512517,,
1.735,-0.2472534,-0.0841141,0.3313675,0.6241693545,,
1.74,-0.2472534,-0.0925217,0.3397751,0.62586823,,
1.745,-0.251442,-0.1072464,0.3586884,0.627661672,,
1.75,-0.2451553,-0.1240692,0.3692245,0.6295077945,,
1.755,-0.2472534,-0.1114502,0.3587036,0.6313013125,,
1.76,-0.251442,-0.1198578,0.3712998,0.6331578115,,
1.765,-0.2472534,-0.1219635,0.3692169,0.635003896,,
1.77,-0.2409668,-0.1240692,0.365036,0.636829076,,
1.775,-0.2430649,-0.1303787,0.3734436,0.638696294,,
1.78,-0.2451553,-0.1261673,0.3713226,0.640552907,,
1.785,-0.2346802,-0.1219635,0.3566437,0.6423361255,,
1.79,-0.2367783,-0.1198578,0.3566361,0.644119306,,
1.795,-0.2451553,-0.1240692,0.3692245,0.6459654285,,
1.8,-0.2409668,-0.1177597,0.3587265,0.647759061,,
1.805,-0.2430649,-0.1219635,0.3650284,0.649584203,,
1.81,-0.2388687,-0.1240692,0.3629379,0.6513988925,,
1.815,-0.2409668,-0.1177597,0.3587265,0.653192525,,
1.82,-0.2430649,-0.1261673,0.3692322,0.655038686,,
1.825,-0.2430649,-0.1261673,0.3692322,0.656884847,,
1.83,-0.2493515,-0.0988312,0.3481827,0.6586257605,,
1.835,-0.2409668,-0.1114502,0.352417,0.6603878455,,
1.84,-0.2472534,-0.1198578,0.3671112,0.6622234015,,
1.845,-0.2388687,-0.0778046,0.3166733,0.663806768,,
1.85,-0.2472534,-0.0883179,0.3355713,0.6654846245,,
1.855,-0.2409668,-0.1072464,0.3482132,0.6672256905,,
1.86,-0.2304916,-0.1114502,0.3419418,0.6689353995,,
1.865,-0.2388687,-0.115654,0.3545227,0.670708013,,
1.87,-0.2430649,-0.1135559,0.3566208,0.672491117,,
1.875,-0.2430649,-0.115654,0.3587189,0.6742847115,,
1.88,-0.2451553,-0.1135559,0.3587112,0.6760782675,,
1.885,-0.2409668,-0.1135559,0.3545227,0.677850881,,
1.89,-0.2430649,-0.1219635,0.3650284,0.679676023,,
1.895,-0.2346802,-0.1261673,0.3608475,0.6814802605,,
1.9,-0.2367783,-0.1240692,0.3608475,0.683284498,,
1.905,-0.2388687,-0.1303787,0.3692474,0.685130735,,
1.91,-0.2346802,-0.1303787,0.3650589,0.6869560295,,
1.915,-0.2388687,-0.1240692,0.3629379,0.688770719,,
1.92,-0.2346802,-0.1072464,0.3419266,0.690480352,,
1.925,-0.2346802,-0.115654,0.3503342,0.692232023,,
1.93,-0.2388687,-0.1072464,0.3461151,0.6939625985,,
1.935,-0.2367783,-0.1135559,0.3503342,0.6957142695,,
1.94,-0.2430649,-0.115654,0.3587189,0.697507864,,
1.945,-0.2388687,-0.115654,0.3545227,0.6992804775,,
1.95,-0.2263031,-0.1135559,0.339859,0.7009797725,,
1.955,-0.224205,-0.1177597,0.3419647,0.702689596,,
1.96,-0.2346802,-0.115654,0.3503342,0.704441267,,
1.965,-0.2409668,-0.1135559,0.3545227,0.7062138805,,
1.97,-0.2430649,-0.1198578,0.3629227,0.708028494,,
1.975,-0.2409668,-0.1135559,0.3545227,0.7098011075,,
1.98,-0.2409668,-0.115654,0.3566208,0.7115842115,,
1.985,-0.2388687,-0.1177597,0.3566284,0.7133673535,,
1.99,-0.2430649,-0.115654,0.3587189,0.715160948,,
1.995,-0.2304916,-0.115654,0.3461456,0.716891676,,
2,-0.2325897,-0.1177597,0.3503494,0.718643423,,
2.005,-0.2367783,-0.1177597,0.354538,0.720416113,,
2.01,-0.2283936,-0.0925217,0.3209153,0.7220206895,,
2.015,-0.2409668,-0.103035,0.3440018,0.7237406985,,
2.02,-0.2451553,-0.1135559,0.3587112,0.7255342545,,
2.025,-0.2430649,-0.1198578,0.3629227,0.727348868,,
2.03,-0.2409668,-0.1240692,0.365036,0.729174048,,
2.035,-0.2472534,-0.1177597,0.3650131,0.7309991135,,
2.04,-0.2472534,-0.1177597,0.3650131,0.732824179,,
2.045,-0.251442,-0.1198578,0.3712998,0.734680678,,
2.05,-0.2451553,-0.0820084,0.3271637,0.7363164965,,
2.055,-0.2451553,-0.0925217,0.337677,0.7380048815,,
2.06,-0.2388687,-0.0967331,0.3356018,0.7396828905,,
2.065,-0.2451553,-0.1072464,0.3524017,0.741444899,,
2.07,-0.2472534,-0.1177597,0.3650131,0.7432699645,,
2.075,-0.2451553,-0.115654,0.3608093,0.745074011,,
2.08,-0.2409668,-0.115654,0.3566208,0.746857115,,
2.085,-0.2409668,-0.1219635,0.3629303,0.7486717665,,
2.09,-0.2451553,-0.1198578,0.3650131,0.750496832,,
2.095,-0.2472534,-0.1198578,0.3671112,0.752332388,,
2.1,-0.2430649,-0.1219635,0.3650284,0.75415753,,
2.105,-0.2451553,-0.1240692,0.3692245,0.7560036525,,
2.11,-0.2472534,-0.1240692,0.3713226,0.7578602655,,
2.115,-0.2472534,-0.115654,0.3629074,0.7596748025,,
2.12,-0.2388687,-0.128273,0.3671417,0.761510511,,
2.125,-0.2409668,-0.1240692,0.365036,0.763335691,,
2.13,-0.2346802,-0.0925217,0.3272019,0.7649717005,,
2.135,-0.2367783,-0.103035,0.3398133,0.766670767,,
2.14,-0.2430649,-0.1177597,0.3608246,0.76847489,,
2.145,-0.2388687,-0.1114502,0.3503189,0.7702264845,,
2.15,-0.2388687,-0.1135559,0.3524246,0.7719886075,,
2.155,-0.2472534,-0.1198578,0.3671112,0.7738241635,,
